ID,Name,Email,Password,Level,Profile Image,Created At
4,Henrique Mairesse,abcd,$2b$10$B42NNzt.eAhUKQyMFlGAdOwhili9mnksT4IjiSq8q5tYtNaoSd.y6,3,,Thu Apr 10 2025 14:20:49 GMT-0300 (Horário Padrão de Brasília)
8,ac,ala,$2b$10$lqIIPOl.MGT8MYPFB8/eE.hyLsuOi.2mfrv5d8VjydNdikrwM0qeS,7,,Thu Apr 10 2025 15:27:59 GMT-0300 (Horário Padrão de Brasília)
12,abcde,ala@gmail.com,$2b$10$pI007E555IvT8lGHK7bRYe5xEKeBKl0A6xxJoMNomxaKZZ7g.nznS,3,,Thu Apr 10 2025 15:46:27 GMT-0300 (Horário Padrão de Brasília)
13,aft,alav@gmail.com,$2b$10$dxE1qglMVYPiR00ZfQg9ouyotxIVGU9LPQOOfJ07bypKHZxYR.4M6,3,,Thu Apr 10 2025 15:59:00 GMT-0300 (Horário Padrão de Brasília)
14,aftewf,alavawrg@gmail.com,$2b$10$hJFkvmkEN2JXhotff1WPuuEQFkMbLt8QCD6AVoHPQQ7noVGty.JM2,4,,Thu Apr 10 2025 16:35:07 GMT-0300 (Horário Padrão de Brasília)
15,aftewf,123456@gmail.com,$2b$10$isxzVl7ic8RakDpUOSdGR.ZX/FiYFr5q.Hk5t3JrIjpceaUvtAW5C,1,,Mon Apr 14 2025 14:46:14 GMT-0300 (Horário Padrão de Brasília)
16,aftewf,12345678@gmail.com,$2b$10$7xNpvENGPkk1V6fTERc/j.7D6qBin14DOV8jLTDJ.CUGuWEmLJ0fS,1,,Mon Apr 14 2025 14:57:19 GMT-0300 (Horário Padrão de Brasília)
17,ADMIN,admin@gmail.com,$2b$10$z8XUXNiGhuCj6.r6twrD/OAUMyek76.bSCGaOVaPfp3oC6x89LTGi,5,,Mon Apr 14 2025 16:40:32 GMT-0300 (Horário Padrão de Brasília)
18,rghioeseagrarw,q24yqe5@gmail.com,$2b$10$y9aiNHPqdVoPzCYdE6r9uO/fDgi6jah1PybEKm6m6k5Sbqj.xxjKK,3,,Tue Apr 15 2025 15:05:04 GMT-0300 (Horário Padrão de Brasília)
7,acs,davi.copstein@edu.pucrsbr,$2b$10$M.aE8NxytoVt4Fto7frDj.hLMgThD4wwHwU7VICYvqj87iHn5bylW,5,,Thu Apr 10 2025 15:27:46 GMT-0300 (Horário Padrão de Brasília)
